,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
169,Port Shepstone,ZA,-30.74,30.45,18.62,97,36,4.31
170,Kautokeino,NO,69.01,23.04,15.12,69,48,1.61
171,Khatanga,RU,71.98,102.47,12.77,56,0,2.31
172,Zunyi,CN,27.73,106.92,20.62,96,88,1.16
173,Murmashi,RU,68.82,32.82,18.0,45,0,5.0
174,Adrar,DZ,27.87,-0.29,48.0,6,76,10.3
175,Oranjemund,NA,-28.55,16.43,20.52,68,0,4.31
176,Kutum,SD,14.2,24.66,24.62,77,24,4.16
177,Urengoy,RU,65.96,78.37,17.87,96,88,6.26
178,Qianan,CN,44.99,124.06,21.12,94,12,6.46
179,Uk,RU,55.08,98.86,11.77,95,92,1.31
180,Praia,CV,14.92,-23.51,26.67,87,20,1.26
181,Minna,NG,9.62,6.55,30.57,76,68,2.36
182,Amuntai,ID,-2.42,115.25,23.82,94,32,0.76
183,Kahului,US,20.89,-156.47,21.84,94,20,5.1
184,Cherskiy,RU,68.75,161.3,7.47,55,92,2.91
185,Strezhevoy,RU,60.73,77.6,24.0,47,0,4.0
186,Soe,ID,-9.86,124.28,17.27,93,32,1.11
187,Los Llanos de Aridane,ES,28.66,-17.92,24.0,64,20,5.1
188,Poum,NC,-20.23,164.02,23.47,100,48,3.56
189,Marsh Harbour,BS,26.54,-77.06,28.67,99,12,2.51
190,Abbeville,US,29.97,-92.13,24.27,100,90,1.86
191,Mayo,CA,63.59,-135.9,12.0,81,20,2.26
192,Muros,ES,42.77,-9.06,27.0,61,40,3.6
193,Vestmannaeyjar,IS,63.44,-20.27,10.0,93,40,7.7
194,Blythe,US,33.61,-114.59,33.0,38,1,2.6
195,Leningradskiy,RU,69.38,178.42,-0.89,97,68,8.66
196,Aklavik,CA,68.22,-135.01,15.14,87,75,1.5
197,Dingle,IE,52.14,-10.27,18.17,86,8,2.91
198,Noumea,NC,-22.28,166.46,15.0,87,0,0.5
199,Ust-Nera,RU,64.57,143.24,15.12,67,0,0.86
200,Chernyshevskiy,RU,63.01,112.47,7.77,93,92,3.26
201,Mali,GN,12.08,-12.3,25.97,91,80,1.51
202,Thompson,CA,55.74,-97.86,14.0,71,90,4.1
203,Kindu,CD,-2.95,25.92,33.77,23,0,0.71
204,Alta Floresta,BR,-9.87,-56.08,31.52,49,0,1.31
205,Neiafu,TO,-18.65,-173.98,21.0,88,75,2.6
206,Guozhen,CN,29.3,113.14,24.47,97,88,1.61
207,Cidreira,BR,-30.17,-50.22,13.62,86,0,10.96
208,Gazli,UZ,40.13,63.45,37.02,12,0,3.36
209,Biak,ID,-0.91,122.88,23.12,100,68,2.61
210,Hsinchu,TW,24.8,120.97,27.96,83,40,1.5
211,Bilibino,RU,68.06,166.44,8.97,61,56,1.11
212,Hamilton,BM,32.3,-64.78,28.0,74,75,6.7
213,Palasa,IN,18.77,84.42,28.27,97,48,4.26
214,Olga,RU,43.74,135.29,10.07,90,76,0.96
215,Terra Nova,BR,-12.41,-38.62,23.0,94,75,5.1
216,Nemuro,JP,43.32,145.57,10.72,100,36,4.31
217,Torbay,CA,47.66,-52.73,18.35,42,20,11.8
218,Marshfield,US,42.09,-70.71,22.08,60,1,1.11
219,Machinga,MW,-15.18,35.3,21.0,77,40,7.7
220,Griffith,AU,-34.29,146.06,10.12,86,56,4.61
221,Baruun-Urt,MN,46.68,113.28,10.77,93,44,5.26
222,Bethel,US,60.79,-161.76,8.0,100,90,9.8
223,Arnedo,ES,42.23,-2.1,30.08,45,20,2.1
224,Tiksi,RU,71.64,128.87,3.27,95,88,4.31
225,Sharan,AF,33.15,68.78,23.77,19,12,2.66
226,Norfolk,US,36.85,-76.29,23.17,69,75,7.7
227,Argentan,FR,48.74,-0.02,25.0,53,0,5.1
228,Omsukchan,RU,62.53,155.8,13.22,70,12,1.31
229,Cap Malheureux,MU,-19.98,57.61,23.0,69,75,3.6
230,Srednekolymsk,RU,67.46,153.71,17.87,62,0,1.16
231,Kiunga,PG,-6.12,141.3,22.67,96,88,0.86
232,Harper,LR,4.38,-7.71,25.97,100,80,5.31
233,Cavalcante,BR,-13.79,-47.46,29.37,33,0,3.56
234,Segou,ML,13.43,-6.22,31.82,87,12,2.06
235,Lakes Entrance,AU,-37.88,147.99,11.22,88,92,8.06
236,Takoradi,GH,4.89,-1.75,25.07,94,80,3.91
237,Mabaruma,GY,8.2,-59.78,25.67,100,80,1.76
238,Celestun,MX,20.87,-90.4,27.22,100,20,5.46
239,Naze,JP,28.37,129.48,26.92,99,8,5.46
240,Mana,GF,5.67,-53.78,30.67,68,8,1.56
241,Hutchinson,US,38.06,-97.93,21.37,77,1,3.51
242,Secunda,ZA,-26.52,29.2,14.12,39,0,2.16
243,Verrettes,HT,19.05,-72.47,30.0,58,20,6.2
244,Kayes,ML,14.44,-11.44,31.47,85,0,2.76
245,Araouane,ML,18.9,-3.53,43.62,13,0,3.76
246,Collie,AU,-33.36,116.15,5.97,85,0,1.61
247,Mount Isa,AU,-20.73,139.49,15.0,22,0,4.6
248,Alto Araguaia,BR,-17.32,-53.22,29.97,27,0,1.76
249,Dunedin,NZ,-45.87,170.5,2.97,79,64,1.21
250,Mangochi,MW,-14.48,35.26,22.67,61,80,3.81
251,Provideniya,RU,64.42,-173.23,4.42,100,100,11.76
252,Srivardhan,IN,18.03,73.02,22.82,100,92,1.71
253,Tigil,RU,57.8,158.67,11.97,75,0,4.11
254,Huilong,CN,31.15,106.5,26.27,78,92,2.01
255,Point Pedro,LK,9.82,80.23,30.27,85,32,11.41
256,Nicoya,CR,10.15,-85.45,29.0,66,20,2.1
257,Kuah,MY,6.33,99.84,28.0,88,75,0.5
258,Ostrovnoy,RU,68.05,39.51,9.52,77,0,6.16
259,Weinan,CN,34.5,109.46,23.0,94,90,2.0
260,Nanakuli,US,21.39,-158.15,23.52,94,90,2.1
261,Tommot,RU,58.97,126.27,20.32,54,0,1.86
262,Isangel,VU,-19.55,169.27,24.07,97,24,4.11
263,Souillac,MU,-20.52,57.52,23.0,69,75,3.6
264,Georgetown,SH,-7.93,-14.42,24.47,100,68,7.46
265,Kaitangata,NZ,-46.28,169.85,3.12,72,8,2.51
266,Kirtipur,NP,27.68,85.28,24.0,83,75,2.6
267,Cornelius,US,45.52,-123.06,14.34,93,1,2.1
268,Nanortalik,GL,60.14,-45.24,2.62,97,92,1.31
269,Handia,IN,25.36,82.19,32.52,61,8,4.61
270,Kruisfontein,ZA,-34.0,24.73,20.27,61,0,2.86
271,Honiara,SB,-9.43,159.96,23.0,100,75,1.76
272,Qinhuangdao,CN,39.94,119.59,21.12,100,92,1.31
273,Marsaxlokk,MT,35.84,14.54,30.0,40,0,5.7
274,Kalabo,ZM,-15.0,22.67,22.47,36,76,3.31
275,Tasiilaq,GL,65.61,-37.64,6.0,87,75,5.7
276,Smolenka,RU,54.28,56.05,26.0,54,75,4.0
277,Port-Gentil,GA,-0.72,8.78,27.0,74,40,6.7
278,Umea,SE,63.83,20.26,20.0,56,0,4.1
279,Constitucion,MX,23.99,-104.67,18.0,72,40,1.91
280,Ixtapa,MX,20.71,-105.21,24.0,100,75,2.1
281,Gaya,NE,11.88,3.46,33.02,75,36,2.06
282,Shieli,KZ,44.18,66.74,36.62,17,0,5.26
283,Svolvaer,NO,68.23,14.57,12.0,81,75,3.6
284,Port Augusta,AU,-32.49,137.76,9.0,81,90,2.1
285,Vanavara,RU,60.35,102.28,13.87,59,80,2.76
286,Chontalpa,MX,17.7,-93.52,29.47,65,56,3.66
287,Prince Rupert,CA,54.32,-130.32,14.0,93,90,2.1
288,Aswan,EG,24.09,32.9,42.0,9,0,6.7
289,Fortuna,US,40.6,-124.16,13.0,93,90,2.6
290,Port Keats,AU,-14.25,129.55,19.62,63,0,5.51
291,Hualmay,PE,-11.1,-77.61,17.27,80,24,1.31
292,Igarka,RU,67.47,86.57,18.72,42,88,9.16
293,Comrat,MD,46.3,28.66,25.57,57,88,3.31
294,Gidam,IN,18.98,81.4,22.12,96,64,2.16
295,Dong Xoai,VN,11.53,106.92,22.97,98,92,1.41
296,Karratha,AU,-20.74,116.85,11.12,76,0,1.31
297,Mikkeli,FI,61.69,27.27,17.0,82,90,1.5
298,Grand-Santi,GF,4.27,-54.38,29.47,66,0,1.61
299,Kingston,CA,44.23,-76.48,23.39,78,75,5.7
300,Benjamin Hill,MX,30.17,-111.1,28.27,55,0,1.81
301,Gao,ML,16.28,-0.04,36.87,44,0,2.41
302,Kargasok,RU,59.06,80.87,17.82,63,0,1.96
303,Nouakchott,MR,18.08,-15.98,24.17,100,36,4.16
304,Smidovich,RU,48.6,133.81,16.87,69,64,1.51
305,Kalmunai,LK,7.42,81.82,27.92,67,12,3.91
306,Berlevag,NO,70.86,29.09,14.0,67,0,3.1
307,Vestmanna,FO,62.16,-7.17,11.0,81,68,7.7
308,Sorland,NO,67.67,12.69,11.0,93,75,8.2
309,Amga,RU,60.89,131.98,20.62,85,0,1.06
310,Marfino,RU,56.07,37.56,20.35,72,40,5.0
311,Westport,IE,53.8,-9.52,20.0,72,75,2.1
312,Fairbanks,US,64.84,-147.72,16.99,67,90,4.46
313,Port Elizabeth,ZA,-33.92,25.57,19.0,48,0,3.1
314,Betul,IN,21.92,77.9,26.32,83,48,4.66
315,Curaca,BR,-8.99,-39.91,29.57,39,0,4.56
316,Victor Harbor,AU,-35.55,138.62,13.0,66,75,3.6
317,Rio Grande,BR,-32.03,-52.1,14.0,76,20,6.7
318,Murgab,TM,37.5,61.97,42.0,8,0,6.2
319,Buala,SB,-8.15,159.59,26.62,97,92,4.46
320,Columbus,US,32.46,-84.99,24.6,94,90,1.5
321,Ekhabi,RU,53.51,142.97,13.27,61,0,2.41
322,Taunggyi,MM,20.78,97.03,19.62,100,92,1.01
323,Mao,TD,14.12,15.31,35.07,52,0,3.71
324,Tougan,BF,13.07,-3.07,30.97,87,0,1.96
325,Bonavista,CA,48.65,-53.11,16.97,59,0,9.06
326,Pitimbu,BR,-7.47,-34.81,25.0,83,75,5.1
327,Taltal,CL,-25.41,-70.49,15.02,81,0,0.06
328,Cururupu,BR,-1.82,-44.87,27.67,87,68,3.81
329,Gushikawa,JP,26.35,127.87,27.36,83,1,4.1
330,Ilulissat,GL,69.22,-51.1,6.0,70,40,3.1
331,Bitung,ID,1.44,125.19,28.0,65,40,3.6
332,Nizhniy Kislyay,RU,50.86,40.17,24.02,53,48,6.96
333,Hare Bay,CA,48.86,-53.99,21.0,37,20,8.7
334,Yarmouth,CA,43.84,-66.12,18.0,82,40,4.6
335,Jiuquan,CN,39.73,98.49,14.32,60,0,1.86
336,Tomatlan,MX,19.93,-105.25,26.17,86,80,1.46
337,Dutse,NG,11.76,9.34,34.12,57,12,2.11
338,Luderitz,NA,-26.65,15.16,22.67,43,0,1.76
339,Vana-Vigala,EE,58.78,24.25,24.0,50,75,5.1
340,Iqaluit,CA,63.75,-68.52,7.0,70,20,5.7
341,Jiangyou,CN,31.78,104.73,22.87,89,92,1.21
342,Okato,NZ,-39.19,173.88,13.17,98,92,11.26
343,Filadelfia,PY,-22.35,-60.04,14.12,88,80,6.91
344,Kyra,RU,49.58,111.97,9.77,66,48,2.96
345,Longyearbyen,SJ,78.22,15.64,9.0,70,75,4.1
346,Ancud,CL,-41.87,-73.83,7.17,96,0,1.96
347,Camacha,PT,33.08,-16.33,24.13,69,20,6.2
348,Haapsalu,EE,58.95,23.55,17.0,77,0,6.2
349,Novaya Zaimka,RU,56.49,66.92,28.27,47,68,3.16
350,Kendari,ID,-3.99,122.52,22.42,88,68,1.31
351,Samarai,PG,-10.62,150.67,25.42,99,88,9.76
352,Hokitika,NZ,-42.72,170.96,9.27,100,92,6.66
353,Chilliwack,CA,49.17,-121.95,13.64,87,20,2.1
354,Balkanabat,TM,39.51,54.36,38.12,21,68,1.51
355,Ossora,RU,59.24,163.07,8.72,97,32,2.91
356,Djambala,CG,-2.55,14.76,28.52,64,0,3.76
357,Te Anau,NZ,-45.41,167.72,1.47,94,48,1.06
358,Charters Towers,AU,-20.07,146.27,9.57,49,0,3.76
359,Kysyl-Syr,RU,63.9,122.77,20.82,60,0,3.76
360,Fuling,CN,29.71,107.39,26.52,79,88,1.11
361,Dondo,MZ,-19.62,34.74,22.0,88,75,4.86
362,Puri,IN,19.8,85.85,30.0,84,40,4.1
363,Vimperk,CZ,49.05,13.77,22.47,46,8,3.41
364,Nacimiento,CL,-37.5,-72.67,6.0,100,0,2.71
365,San Diego,GT,14.79,-89.78,22.07,68,24,0.86
366,Cabedelo,BR,-6.97,-34.84,25.0,83,75,5.1
367,Vila Velha,BR,-3.71,-38.6,29.0,58,40,6.7
368,Paamiut,GL,61.99,-49.67,4.07,98,92,3.01
369,Ginir,ET,7.14,40.71,22.17,54,76,3.71
370,Elban,RU,50.1,136.51,16.07,84,24,0.56
371,Hambantota,LK,6.12,81.12,25.22,100,56,7.81
372,Bangassou,CF,4.74,22.82,28.67,66,8,0.86
373,Hailey,US,43.52,-114.32,16.0,55,40,4.6
374,Iquitos,PE,-3.75,-73.25,24.0,88,75,2.1
375,Whitefish,US,48.41,-114.33,14.0,62,1,1.5
376,Ojinaga,MX,29.57,-104.42,23.27,66,92,1.76
377,Mitsamiouli,KM,-11.38,43.28,27.0,61,20,7.7
378,Lorengau,PG,-2.02,147.27,26.72,100,80,1.91
379,Zambezi,ZM,-13.55,23.12,23.07,39,32,3.21
380,Horodyshche,UA,50.76,29.29,27.0,39,76,4.0
381,Kraslava,LV,55.9,27.16,22.52,55,0,6.61
382,Lagoa,PT,37.14,-8.45,26.0,57,0,4.1
383,Yumen,CN,40.29,97.04,20.87,35,0,3.46
384,Malinovoye Ozero,RU,51.68,79.77,22.22,39,0,3.41
385,Victoria,SC,-4.62,55.45,24.0,94,90,8.2
386,Roma,AU,-26.57,148.79,5.67,86,0,4.91
387,Annaka,JP,36.34,138.77,18.32,93,56,0.96
388,Tianpeng,CN,28.88,112.34,25.37,96,88,1.81
389,Phan Thiet,VN,10.93,108.1,25.52,100,32,5.31
390,Barra Patuca,HN,15.8,-84.28,29.17,85,0,6.86
391,The Valley,AI,18.22,-63.06,29.03,69,40,8.2
392,Olinda,BR,-22.82,-43.41,27.57,39,0,2.6
393,Myitkyina,MM,25.38,97.4,25.17,97,88,1.06
394,Aksu,CN,41.12,80.26,19.97,60,0,1.46
395,Shakawe,BW,-18.36,21.84,20.22,45,76,2.61
396,Mehamn,NO,71.03,27.85,13.77,76,56,1.21
397,Douglas,US,31.51,-82.85,24.42,94,90,3.1
398,Kinkala,CG,-4.35,14.75,29.0,62,0,2.1
399,Mayumba,GA,-3.44,10.65,23.67,88,36,3.86
400,Monrovia,LR,6.33,-10.8,26.12,94,92,2.66
401,Iguape,BR,-24.7,-47.56,26.27,68,36,4.21
402,Nouadhibou,MR,20.93,-17.03,27.0,57,8,4.6
403,San Vicente,PH,14.11,122.87,24.87,100,92,3.41
404,Orlik,RU,52.51,99.83,1.67,100,92,1.06
405,Selma,US,36.57,-119.61,21.49,37,1,2.1
406,Pangnirtung,CA,66.15,-65.72,3.62,88,32,2.06
407,Jawhar,SO,2.78,45.5,24.77,77,68,6.56
408,General Roca,AR,-39.03,-67.58,7.0,93,75,0.5
409,Warmbad,NA,-28.45,18.73,17.97,48,36,3.41
410,Townsville,AU,-19.26,146.82,15.0,77,0,1.5
411,Talnakh,RU,69.49,88.39,11.87,85,92,6.01
412,Toktogul,KG,41.87,72.95,14.82,78,24,0.91
413,Gazanjyk,TM,39.24,55.52,38.82,23,64,1.66
414,Babaeski,TR,41.43,27.09,26.87,51,76,2.41
415,Kimberley,CA,49.68,-115.98,13.0,66,20,2.1
416,Tarakan,ID,3.3,117.63,26.02,100,64,0.96
417,Saint-Francois,GP,16.25,-61.27,30.0,66,75,6.2
418,Daru,PG,-9.07,143.21,24.82,94,100,7.06
419,Dunyapur,PK,29.8,71.74,39.0,40,0,5.1
420,Coos Bay,US,43.37,-124.22,12.68,82,90,3.6
421,Paracuru,BR,-3.41,-39.03,29.0,58,40,6.7
422,Flinders,AU,-34.58,150.85,12.0,58,0,7.7
423,Sale,AU,-38.11,147.06,11.57,80,100,5.01
424,Kirovskiy,RU,45.09,133.51,14.62,76,76,0.91
425,Manadhoo,MV,5.77,73.38,28.82,98,88,7.31
426,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,11.0,81,0,1.0
427,Show Low,US,34.25,-110.03,19.42,56,1,4.6
428,Chumikan,RU,54.72,135.31,10.17,93,36,1.06
429,Banda Aceh,ID,5.56,95.32,25.07,91,36,2.06
430,Koumac,NC,-20.56,164.28,18.62,94,8,2.31
431,Caravelas,BR,-17.73,-39.27,24.57,100,88,3.46
432,Kamaishi,JP,39.28,141.86,20.17,100,100,0.71
433,Chikola,RU,43.2,43.92,31.0,29,40,2.0
434,Mehran,IR,33.12,46.17,35.0,13,0,4.1
